,name,rating,ingredients
10,"
Benton - Fermentation Eye Cream
","94.2% customers satisfied|1,805 reviews","Galactomyces Ferment Filtrate, Aqua (Water), Butylene Glycol, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Cetyl Ethylhexanoate, Pentylene Glycol, Macadamia Integrifolia Seed Oil, Cetearyl Olivate, Bifida Ferment Lysate, Ceramide NP, Althaea Rosea Root Extract, Aloe Barbadensis Leaf Extract, Sorbitan Olivate, Sorbitan Stearate, Sodium Hyaluronate, Allantoin, Betaine, Beta-Glucan, Panthenol, sh-Oligopeptide-1, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine,1,2-Hexanediol, Pulsatilla Koreana Extract, Zanthoxylum Piperitum FruitExtract, Usnea Barbata (Lichen) Extract, Hydrogenated Lecithin, Adenosine, Polysorbate 20, Lecithin

More"
11,"
Dear, Klairs - Midnight Blue Calming Cream LARGE
","98.2% customers satisfied|1,254 reviews","Water, Cetyl Ethylhexanoate, Butylene Glycol, Glycerin, Sodium Hyaluronate, Sorbitan Stearate, Cetyl Alcohol, Simmondsia Chinensis (Jojoba) Seed Oil, Sorbitan Sesquioleate, Glyceryl Stearate, Stearic Acid, Ceramide NP, Polysorbate 60, Chlorphenesin, Tocopheryl Acetate, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Brassica Oleracea Italica (Broccoli) Extract, Guaiazulene, Acetyl Hexapeptide-8, Lecithin, Acetyl Glutamine, sh-Oligopeptide-1, sh-Oligopeptide-2, sh-Polypeptide-1, sh-Polypeptide-9, sh-Polypeptide-11, Caprylyl Glycol, 1,2-Hexanediol, Anthemis Nobilis (Chamomile) Flower Extract, Caprylic/CapricTriglyceride, Candelilla Cera, Beeswax, Morus Alba (White Mulberry) Root Extract, Morus Alba Root Extract, Bacillus/Folic Acid/Soybean Ferment Extract, Anthemis Nobilis Flower Extract, Centella Asiatica Extract, Bacillus/Soybean/Folic Acid Ferment Extract, Centella Asiatica (Gotu Kola) Extract, Butyrospermum Parkii (Shea Butter), Triethanolamine, Argania Spinosa (Argan) Kernel Oil, Butyrospermum Parkii (Shea) Butter, Portulaca Oleracea Extract, Argania Spinosa Kernel Oil, Caprylic/Capric Triglyceride, Portulaca Oleracea (Green Purslane) Extract, Tromethamine

More"
12,"
COSRX - Centella Blemish Cream
","94% customers satisfied|1,953 reviews","Centella Asiatica Leaf Water, Butylene Glycol, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Zinc Oxide, Dimethicone, Betaine, 1,2-Hexanediol, Viola Tricolor Extract, Elaeis Guineensis(Palm) oil, Elaeis Guineensis(Palm) Kernel Oil, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Centella Asiatica Extract, Zinc PCA, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum , Melaleuca Alternifolia (Tea Tree) Leaf Oil, Scutellaria Baicalensis Root Extract

More"
13,"
I'm from - Rice Cream
",98.3% customers satisfied|127 reviews,"Oryza Sativa (Rice) Bran Water (41%), Water, Glycerin, Butylene Glycol, Cetyl Ethylhexanoate, Pentaerythrityl Tetraethylhexanoate, Hydrogenated Polyisobutene, Synthetic Beeswax, Butyrospermum Parkii (Shea) Butter, Polyglyceryl-3 Methylglucose Distearate, Vinyl Dimethicone, Pentylene Glycol, 1,2-Hexanediol, Behenyl Alcohol, Glyceryl Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Bisabolol, Cetearyl Olivate, Panthenol, Sorbitan Olivate, Caprylyl Glycol, Ethylhexylglycerin, Xanthan Gum, Adenosine, Trisodium Ethylenediamine Disuccinate, Sodium Hyaluronate, Ceramide NP, Hydrolyzed Hyaluronic Acid, Oryza Sativa (Rice) Bran Oil, Tocopherol, Phytosphingosine, Caprylic/Capric Triglyceride, Hydrogenated Lecithin

More"
14,"
Pyunkang Yul - Moisture Cream 100ml
",95.1% customers satisfied|515 reviews,"Coptis Japonica Extract, Butylene Glycol, Simmondsia Chinensis (Jojoba) Seed Oil, Polyglyceryl-3 Methylglucose Distearate, Cetyl Ethylhexanoate, Butylene Glycol Dicaprylate/Dicaprate, Isohexadecane, 1,2-Hexanediol, Cetearyl Alcohol, Glyceryl Stearate, Butyrospermum Parkii (Shea) Butter, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysorbate 80, Glyceryl Caprylate

More"
15,"
A'PIEU - Milk One Pack 1pc (7 Flavors)
","97.9% customers satisfied|1,471 reviews","Water, Butylene Glycol, Glycerin, Mineral Oil, Milk Extract, PEG-40 Stearate, Cetearyl Alcohol, Stearic Acid, Sorbitan Sesquioleate, Lactobacillus/Soybean Ferment Extract, Saccharomyces/Imperata Cylindrica Root Ferment Extract, Saccharomyces/Viscum Album (Mistletoe) Ferment Extract, Nelumbo Nucifera Callus Culture Extract, 1,2-Hexanediol, Sodium Hyaluronate, Ethylhexylglycerin, Caprylyl Glycol, Illicium Verum (Anise) Fruit Extract, Carbomer, Triethanolamine, Phenoxyethanol, Disodium EDTA, Fragrance, Hydrolyzed Collagen, Royal Jelly Extract, Coffea Arabica (Coffee) Seed Extract, Theobroma Cacao (Cocoa) Extract, Tremella Fuciformis (Mushroom) Extract, Musa Sapientum (Banana) Fruit Extract, Aloe Barbadensis Leaf Extract, Camellia Sinensis Leaf Extract, Adenosine, Cocos Nucifera (Coconut) Fruit Extract, Fragaria Ananassa (Strawberry) Fruit Extract, Hamamelis Virginiana (Witch Hazel) Extract, Milk Protein Extract, Pearl Extract, Prunus Mume Fruit Extract

More"
16,"
I'm from - Mugwort Cream
",96.7% customers satisfied|294 reviews,"Artemisia Vulgaris (Mugwort) Extract, Propanediol, Cyclopentasiloxane, Glycerin, Cetyl Ethylhexanoate, Cyclohexasiloxane, Stearic Acid, Butyrospermum Parkii (Shea) Butter, Butylene Glycol, Hydrogenated Lecithin, Arachidyl Alcohol, Arachidyl Glucoside, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Water, 1,2-Hexanediol, Caprylhydroxamic Acid, C14-28 Alkyl Acid, Stearyl Alcohol, Behenyl Alcohol, Polyglyceryl-2 Stearate, Glyceryl Stearate, Panthenol, Dipotassium Glycyrrhizate, Allantoin, Boswellia Serrata Resin Extract, Ammonium Acryloyldimethyltaurate/VP Copolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dimethiconol, Saccharomyces/Viscum Album (Mistletoe) Ferment Extract, Lactobacillus/Soybean Ferment Extract, Saccharomyces/Imperata Cylindrica Root Ferment Extract, Disodium EDTA, Polyglutamic Acid, Pueraria Lobata (Kudzu) Root Extract, Artemisia Vulgaris Oil

More"
17,"
Pyunkang Yul - Black Tea Time Reverse Eye Cream
",99.1% customers satisfied|248 reviews,"Water, Glycerin, Methylpropanediol, Caprylic/​Capric Triglyceride, Cetearyl Alcohol, Macadamia Ternifolia Seed Oil, Hydrogenated Polydecene, Niacinamide, Butyrospermum Parkii (Shea) Butter, Glyceryl Stearate, Beeswax, Saccharomyces/​Xylinum/​Black Tea Ferment, Arachidyl Alcohol, Behenyl Alcohol, Arachidyl Glucoside, Phenyl Trimethicone, Cetearyl Glucoside, Sorbitan Stearate, Cellulose Gum, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Hydroxyethylcellulose, Broussonetia Kazinoki Root Extract, Punica Granatum Fruit Extract, Coptis Japonica Extract, Centella Asiatica Extract, Adenosine, Ceramide NP, Yeast Beta-Glucan, Copper Tripeptide-1, Acetyl Hexapeptide-8, Hydrogenated Lecithin, Carbomer, Butylene Glycol, Hydroxyacetophenone, Myrtus Communis Extract, Tropaeolum Majus Extract, Tromethamine, Disodium EDTA, Octyldodecanol, Caprylyl Glycol, Ethylhexylglycerin, 1,2-Hexanediol

More"
18,"
COSRX - Oil Free Ultra Moisturizing Lotion with Birch Sap
","96.5% customers satisfied|1,510 reviews","Betula Platyphylla Japonica Juice, Butylene Glycol, Glycerin, Dimethicone, Betaine, Cetearyl Alcohol, 1,2-Hexanediol, Cetearyl Olivate, Sorbitan Olivate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolyme, Ethylhexylglycerin, Citrus Medica Limonum (Lemon) Peel Oil, Allantoin, Panthenol, Xanthan Gum, Sodium Lactate, Sodium Hyaluronate, Ethyl Hexanediol, Melaleuca Alternifolia (Tea Tree) Leaf Oil

More"
19,"
Dear, Klairs - Fundamental Water Gel Cream
",96.9% customers satisfied|140 reviews,"Camellia Sinensis Leaf Water, Butylene Glycol, Glycerin, Aqua (Water), Ethylhexyl Palmitate, Cetyl Ethylhexanoate, 1,2-Hexanediol, Pentaerythrityl Tetraethylhexanoate, Panthenol, Oryza Sativa (Rice) Extract, HibiscusEsculentus Fruit Extract, Camellia Sinensis Leaf Extract, Laminaria Japonica Extract, Artemisia Vulgaris Extract, Centella Asiatica Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Phytosphingosine, Caproyl Sphingosine, Tocopherol, Glyceryl glucoside, Hydrolyzed Hyaluronic Acid, Trehalose, Jojoba Esters, Helianthus Annuus (Sunflower) Seed Oil, Hydrolyzed Jojoba Esters, Glyceryl Acrylate/Acrylic Acid Copolymer, Cetyl Alcohol, Hydrogenated Lecithin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Hydrogenated Polydecene, Ethylhexylglycerin, Cyclohexasiloxane

More"
