,name,rating,ingredients
10,"
JAYJUN - Green Tea Eye Gel Patch 60 pcs
","95.2% customers satisfied|1,110 reviews","Water, Glycerin, Butylene Glycol, Niacinamide, Chondrus Crispus (Carrageenan), Potassium Chloride, Tripropylene Glycol, Dipropylene Glycol, Betaine, Sodium Hyaluronate, Paeonia Lactiflora Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Polygonum Multiflorum Root Extract, Phellinus Linteus Extract, Morus Alba Bark Extract, Sophora Angustifolia Root Extract, Cimicifuga Racemosa Root Extract, Sesamum Indicum (Sesame) Seed Extract, Scutellaria Baicalensis Root Extract, Angelica Gigas Root Extract, Pentylene Glycol, Cocos Nucifera (Coconut) Fruit Extract, Pinus Sylvestris Leaf Extract, Camellia Sinensis (Green Tea) Leaf Powder(0.2%), Saururus Chinensis Extract, Ceratonia Siliqua Gum, Sucrose, Isopropyl Alcohol, Calcium Chloride, Cyamopsis Tetragonoloba (Guar) Gum, Cellulose Gum, Chondrus Crispus Powder, Allantoin, Adenosine, Disodium EDTA, Calcium Lactate, Ethyl Hexanediol, 1,2-Hexanediol, Propanediol, Caprylyl Glycol, Ethylhexylglycerin, CI 77288, Polyglyceryl-10 Laurate, Fragrance, Chlorphenesin

More"
11,"
A'PIEU - Milk One Pack 1pc (7 Flavors)
","97.9% customers satisfied|1,471 reviews","Water, Butylene Glycol, Glycerin, Mineral Oil, Milk Extract, PEG-40 Stearate, Cetearyl Alcohol, Stearic Acid, Sorbitan Sesquioleate, Lactobacillus/Soybean Ferment Extract, Saccharomyces/Imperata Cylindrica Root Ferment Extract, Saccharomyces/Viscum Album (Mistletoe) Ferment Extract, Nelumbo Nucifera Callus Culture Extract, 1,2-Hexanediol, Sodium Hyaluronate, Ethylhexylglycerin, Caprylyl Glycol, Illicium Verum (Anise) Fruit Extract, Carbomer, Triethanolamine, Phenoxyethanol, Disodium EDTA, Fragrance, Hydrolyzed Collagen, Royal Jelly Extract, Coffea Arabica (Coffee) Seed Extract, Theobroma Cacao (Cocoa) Extract, Tremella Fuciformis (Mushroom) Extract, Musa Sapientum (Banana) Fruit Extract, Aloe Barbadensis Leaf Extract, Camellia Sinensis Leaf Extract, Adenosine, Cocos Nucifera (Coconut) Fruit Extract, Fragaria Ananassa (Strawberry) Fruit Extract, Hamamelis Virginiana (Witch Hazel) Extract, Milk Protein Extract, Pearl Extract, Prunus Mume Fruit Extract

More"
12,"
LANEIGE - Water Sleeping Mask Mini
","95.7% customers satisfied|3,041 reviews","Water, Butylene Glycol, Cyclopentasiloxane, Glycerin, Cyclohexasiloxane, Trehalose, Sodium Hyaluronate, Oenothera Biennis (Evening Primrose) Root Extract, Prunus Armeniaca (Apricot) Fruit Extract, Beta-Glucan, Chenopodium Quinoa Seed Extract, Ascorbyl Glucoside, Magnesium Sulfate, Zinc Sulfate, Manganese Sulfate, Calcium Chloride, Potassium Alginate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Polysorbate 20, Dimethicone, Dimethiconol, Dimethicone/Vinyl Dimethicone Crosspolymer, Propanediol, Ethylhexylglycerin, Stearyl Behenate, Polyglyceryl-3 Methylglucose Distearate, Hydroxypropyl Bispalmitamide MEA, Inulin Lauryl Carbamate, Alcohol, 1,2-Hexanediol, Caprylyl Glycol, Carbomer, Tromethamine, Disodium EDTA, Phenoxyethanol, Fragrance, Brilliant Blue FCF (CI 42090)

More"
13,"
Mediheal - N.M.F Aquaring Ampoule Mask EX.
",96.3% customers satisfied|752 reviews,"Water, Butylene Glycol, Glycereth-26, Propylene Glycol, Hamamelis Virginiana (Witch Hazel) Water, Rosa Damascena (Rose) Flower Water, Fomes Officinalis (Mushroom) Extract, Sodium Hyaluronate, Betaine, Allantoin, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Chondrus Crispus (Carrageenan), Dipotassium Glycyrrhizate, Tocopheryl Acetate, Trehalose, Ceramide 3, PEG-60 Hydrogenated Castor Oil, Bis-PEG-18 Methyl Ether Dimethyl Silane, Carbomer, Triethanolamine, Methylparaben, Propylparaben, Disodium EDTA, Adenosine, Fragrance, Lysine, Histidine, Arginine, Aspartic Acid, Threonine, Serine, Glutamic Acid, Prolin, Glycine, Alanine, Valine, Methionine, Isoleucine, Leucine, Tyrosine, Phenylalanine, Cysteine

More"
14,"
Etude House - Collagen Eye Patch
","94.4% customers satisfied|1,951 reviews","Water, Butylene Glycol, Glycerin, PEG-75, PEG/PPG-17/6 Copolymer, Ethanol, Citrus Paradisi (Grapefruit) Fruit Extract, Hydrolyzed Collagen, Phenoxyethanol, Xanthan Gum, PEG-60 Hydrogenated Castor Oil, Carbomer, Triethanolamine, Disodium EDTA, Fragrance, Sodium Hyaluronate, Tocopherol, Polysorbate 20, Retinol, Camellia Sinensis Leaf Extract, Hydrolyzed Hyaluronic Acid, Butylene Glycol, Phenoxyethanol, TEA

More"
15,"
I'm from - Mugwort Mask
",97.8% customers satisfied|573 reviews,"Water, Butylene Glycol, Glycerin, Artemisia Princeps (Mugwort) Leaf Powder (2.1%), 1,2-Hexanediol, Cordyceps Sinensis Extract, Polygonum Cuspidatum (Japanese Knotweed) Root Extract, Scutellaria Baicalensis (Baikal Skullcap) Root Extract, Methylpropanediol, Ligularia Fishceri Leaf Extract, Rosa Davurica Bud Extract, Camellia Sinensis (Green Tea) Leaf Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica (Gotu Kola) Extract, Glyceryl Polyacrylate, Sodium Polyacrylate, Carbomer, Arginine, Phenoxyethanol, Allantoin, Dipotassium Glycyrrhizate, Panthenol, Xanthan Gum, Disodium EDTA

More"
16,"
KLAVUU - Nourishing Care Lip Sleeping Pack 20g
","95.8% customers satisfied|1,205 reviews","Polybutene, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Diisostearyl Malate, Octyldodecanol, Ricinus Communis (Castor) Oil, Methyl Hydrogenated Rosinate, Ceresin, Synthetic Wax, Persea Gratissima (Avocado) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Prunus Armeniaca (Apricot) Kernel Oil, Pearl Extract, Hydrogenated Castor Oil, Ethylene/Propylene Copolymer, Beeswax, Disteardimonium Hectorite, Copernicia Cerifera (Carnauba) Wax, Tocopherol, Propylene Carbonate, Water, Butylene Glycol, 1,2-Hexanediol, Caprylyl Glycol, Dehydroacetic Acid, Fragrance

More"
17,"
Pretty skin - Total Solution Essential Sheet Mask - 17 Types
",100% customers satisfied|13 reviews,"Tocopheryl Acetate , Houttuynia Cordata Extract, Allantoin, Aloe Barbadensis Leaf Juice Powder, Laminaria Japonica Extract, Panthenol, Propylene Glycol, PEG-60 Hydrogenated Castor Oil, Caprylyl Glycol, Chamomilla Recutita (Matricaria) Flower/Leaf Extract, Dipotassium Glycyrrhizate, Ceteareth-20, Cucumis Sativus (Cucumber) Fruit Extract, Melaleuca Alternifolia (Tea Tree) Extract, Panax Ginseng Root Extract, Cetyl Ethylhexanoate, Undaria Pinnatifida Extract, Monarda Didyma Leaf Extract, Ethylhexyl Palmitate, Cetyl Palmitate, Camellia Sinensis Leaf Extract, Charcoal Extract, Fragrance, Mentha Piperita (Peppermint) Leaf Extract, Glyceryl Stearate, Ethylhexylglycerin, Xanthan Gum, PEG-60Hydrogenated Castor Oil, Snail Secretion Filtrate, Olea Europaea (Olive) Leaf Extract, Aloe Barbadensis Leaf juice Powder, Pearl Extract, Salicornia Herbacea Extract, Sodium Hyaluronate, Dipropylene Glycol, Hydrolyzed Collagen, Boswellia Serrata Extract, Codium Tomentosum Extract, Aqua, Tocopheryl Acetate, Rosmarinus Officinalis (Rosemary) Leaf Extract, Lavandula Angustifolia (Lavender) Extract, Freesia Refracta Extract, Glycerin, Honey Extract, Phenoxyethanol, Punica Granatum Fruit Extract, Enteromorpha Compressa Extract, Caviar Extract, Niacinamide, Vaccinium Angustifolium (Blueberry) Fruit Extract, Hamamelis Virginiana (Witch Hazel) Extract, Caprylhydroxamic Acid, Portulaca Oleracea Extract, Maltodextrin, Butylene Glycol, 1,2-Hexanediol, Chlorphenesin, Disodium EDTA, Ceteareth-12, Cetearyl Alcohol

More"
18,"
iUNIK - Propolis Vitamin Sleeping Mask 60ml
",96.5% customers satisfied|404 reviews,"Water, Propolis Extract, Butylene Glycol, Glycerin, Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract, Centella Asiatica Leaf Water, Cetearyl Alcohol, Cetyl Ethylhexanoate, Cyclopentasiloxane, Caprylic/Capric Triglyceride, Niacinamide, Cyclohexasiloxane, Glyceryl Stearate, Cetearyl Olivate, Sorbitan Olivate, 1,2-Hexanediol, Caprylyl Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Cetearyl Glucoside, Beta-Glucan, Centella Asiatica (Gotu Kola) Extract, Portulaca Oleracea (Green Purslane) Extract, Allantoin, Ethylhexylglycerin, Adenosine, Dipotassium Glycyrrhizate, Aloe Barbadensis (Aloe Vera) Leaf Extract, Pentylene Glycol, Aspalathus Linearis (Rooibos) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Commiphora Myrrha (Myrrh) Resin Extract, Perilla Frutescens Leaf Extract, Yucca Schidigera Root Extract

More"
19,"
RiRe - Bubble Lip Mask
","93.5% customers satisfied|1,170 reviews","Water, Cellulose, Sodium Laureth Sulfate, Butylene Glycol, Methyl Perfluoroisobutyl Ether, Methyl Perfluorobutyl Ether, Glycerin, Acrylates Copolymer, Triethanolamine, Hydroxyacetophenone, Carbomer, Citrus Aurantium Dulcis (Orange) Peel Oil, Panthenol, Allantoin, Citrus Limon (Lemon) Fruit Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Citrus Aurantifolia (Lime) Fruit Extract, 1,2-Hexanediol, Sodium Hyaluronate, Tartrazine, Ascorbic Acid

More"
